Type,K1,K2,K3,C1,C2,C3
Centrifugal,3.389,0.0536,0.1538,-0.3935,0.3957,-0.00226
Displacement,3.477,0.135,0.1438,-0.2454,0.259,-0.01363
Reciprocating,3.87,0.3161,0.122,-0.2454,0.259,-0.0136
